player_id,player_name,season,team,age,games,targets,team_targets,target_share,fantasy_points_ppr,fantasy_ppg,positional_finish,target_share_bucket
00-0028237,Chris Hogan,2016,NE,29.0,15.0,58,546,0.10622710622710622,128.9,8.593333333333334,60.0,10-15%
00-0033127,Will Fuller,2016,HOU,22.0,14.0,92,577,0.15944540727902945,128.2,9.157142857142857,61.0,15-20%
00-0031782,Eli Rogers,2016,PIT,24.0,13.0,66,590,0.11186440677966102,126.0,9.692307692307692,62.0,10-15%
00-0030542,Terrance Williams,2016,DAL,27.0,15.0,61,479,0.12734864300626306,125.4,8.360000000000001,63.0,10-15%
00-0032211,Tyler Lockett,2016,SEA,24.0,15.0,66,548,0.12043795620437957,124.1,8.273333333333333,64.0,10-15%
00-0033009,Tyler Boyd,2016,CIN,22.0,16.0,81,542,0.14944649446494465,124.1,7.75625,65.0,10-15%
00-0030431,Robert Woods,2016,BUF,24.0,13.0,76,459,0.1655773420479303,118.89999999999999,9.146153846153846,66.0,15-20%
00-0029638,Michael Floyd,2016,ARI/NE,27.0,14.0,76,1182,0.06429780033840947,115.8,8.27142857142857,67.0,<10%
00-0029640,Brian Quick,2016,LA,27.0,16.0,77,530,0.14528301886792452,115.39999999999999,7.2124999999999995,68.0,10-15%
00-0032688,Robbie Chosen,2016,NYJ,23.0,14.0,78,546,0.14285714285714285,114.9,8.207142857142857,69.0,10-15%
00-0031166,Seth Roberts,2016,LV,25.0,16.0,77,589,0.1307300509337861,111.7,6.98125,70.0,10-15%
00-0026995,Jeremy Maclin,2016,KC,28.0,12.0,76,536,0.1417910447761194,109.5,9.125,71.0,10-15%
00-0032778,Tajae Sharpe,2016,TEN,22.0,16.0,83,490,0.16938775510204082,105.3,6.58125,72.0,15-20%
00-0031051,John Brown,2016,ARI,26.0,15.0,73,636,0.11477987421383648,103.7,6.913333333333333,73.0,10-15%
00-0031339,Donte Moncrief,2016,IND,23.0,9.0,56,572,0.0979020979020979,102.6,11.399999999999999,74.0,<10%
00-0027265,Victor Cruz,2016,NYG,30.0,14.0,72,597,0.12060301507537688,101.6,7.257142857142857,75.0,10-15%
00-0032054,Breshad Perriman,2016,BAL,23.0,15.0,66,665,0.09924812030075188,101.1,6.739999999999999,76.0,<10%
00-0030821,Allen Hurns,2016,JAX,25.0,11.0,76,623,0.12199036918138041,100.7,9.154545454545454,77.0,10-15%
00-0032208,Phillip Dorsett,2016,IND,23.0,15.0,59,572,0.10314685314685315,98.8,6.586666666666667,78.0,10-15%
00-0029159,Jermaine Kearse,2016,SEA,26.0,16.0,89,548,0.1624087591240876,98.0,6.125,79.0,15-20%
00-0032128,Chris Conley,2016,KC,24.0,16.0,69,536,0.1287313432835821,97.0,6.0625,80.0,10-15%
00-0032400,Malcolm Mitchell,2016,NE,24.0,12.0,48,546,0.08791208791208792,96.1,8.008333333333333,81.0,<10%
00-0032966,Corey Coleman,2016,CLE,22.0,10.0,73,558,0.13082437275985664,93.3,9.33,82.0,10-15%
00-0029708,Kendall Wright,2016,TEN,27.0,11.0,43,490,0.08775510204081632,90.1,8.19090909090909,83.0,<10%
00-0030068,Marquise Goodwin,2016,BUF,26.0,14.0,68,459,0.14814814814814814,90.1,6.435714285714285,84.0,10-15%
00-0026182,Eddie Royal,2016,CHI,30.0,9.0,43,550,0.07818181818181819,87.9,9.766666666666667,85.0,<10%
00-0031549,Nelson Agholor,2016,PHI,23.0,15.0,69,604,0.11423841059602649,87.9,5.86,86.0,10-15%
00-0032218,Dorial Green-Beckham,2016,PHI,23.0,14.0,74,604,0.12251655629139073,87.2,6.228571428571429,87.0,10-15%
00-0032055,Devin Funchess,2016,CAR,22.0,14.0,58,553,0.10488245931283906,86.1,6.1499999999999995,88.0,10-15%
