Player,Season,Team,Conf,Class,Pos,G,RushAtt,RushYds,RushY/A,RushTD,RushY/G,Rec,RecYds,RecY/R,RecTD,RecY/G,ScrimPlays,ScrimYds,ScrimAvg,ScrimTD,Awards
Marvin Mims,2022,Oklahoma,Big 12,JR,WR,13,2,3,1.5,0,0.2,54,1083,20.1,6,83.3,56,1086,19.4,6,
Quentin Johnston,2020,Texas Christian,Big 12,FR,WR,9,3,3,1.0,2,0.3,22,487,22.1,2,54.1,25,490,19.6,4,
Quentin Johnston,2021,Texas Christian,Big 12,SO,WR,9,2,12,6.0,0,1.3,33,634,19.2,6,70.4,35,646,18.5,6,
Quentin Johnston,2022,Texas Christian,Big 12,JR,WR,14,3,-7,-2.3,0,-0.5,60,1069,17.8,6,76.4,63,1062,16.9,6,
Jalin Hyatt,2020,Tennessee,SEC,FR,WR,10,1,3,3.0,0,0.3,20,276,13.8,2,27.6,21,279,13.3,2,
Jalin Hyatt,2021,Tennessee,SEC,SO,WR,13,1,10,10.0,0,0.8,21,226,10.8,2,17.4,22,236,10.7,2,
Jalin Hyatt,2022,Tennessee,SEC,JR,WR,12,1,0,0.0,0,0.0,67,1267,18.9,15,105.6,68,1267,18.6,15,AA
Zay Flowers,2019,Boston College,ACC,FR,WR,13,27,195,7.2,1,15.0,22,341,15.5,3,26.2,49,536,10.9,4,
Zay Flowers,2020,Boston College,ACC,SO,WR,11,11,41,3.7,1,3.7,56,892,15.9,9,81.1,67,933,13.9,10,
Zay Flowers,2021,Boston College,ACC,JR,WR,12,7,69,9.9,0,5.8,44,746,17.0,5,62.2,51,815,16.0,5,
Zay Flowers,2022,Boston College,ACC,SR,WR,12,12,40,3.3,0,3.3,78,1077,13.8,12,89.8,90,1117,12.4,12,
Josh Downs,2020,North Carolina,ACC,FR,WR,10,1,-3,-3.0,0,-0.3,7,119,17.0,3,11.9,8,116,14.5,3,
Josh Downs,2021,North Carolina,ACC,SO,WR,13,0,0,0.0,0,0.0,101,1335,13.2,8,102.7,101,1335,13.2,8,
Josh Downs,2022,North Carolina,ACC,JR,WR,11,0,0,0.0,0,0.0,94,1029,10.9,11,93.5,94,1029,10.9,11,
Demario Douglas,2019,Liberty,Ind,FR,WR,4,0,0,0.0,0,0.0,9,136,15.1,1,34.0,9,136,15.1,1,
Demario Douglas,2020,Liberty,Ind,FR,WR,11,1,2,2.0,0,0.2,32,363,11.3,3,33.0,33,365,11.1,3,
Demario Douglas,2021,Liberty,Ind,FR,WR,12,1,2,2.0,0,0.2,52,701,13.5,6,58.4,53,703,13.3,6,
Demario Douglas,2022,Liberty,Ind,SO,WR,13,5,105,21.0,1,8.1,79,993,12.6,6,76.4,84,1098,13.1,7,
Nathaniel Dell,2020,Houston,American,SO,WR,8,0,0,0.0,0,0.0,29,428,14.8,3,53.5,29,428,14.8,3,
Nathaniel Dell,2021,Houston,American,SO,WR,14,1,5,5.0,0,0.4,90,1329,14.8,12,94.9,91,1334,14.7,12,
Nathaniel Dell,2022,Houston,American,JR,WR,13,4,9,2.3,0,0.7,109,1398,12.8,17,107.5,113,1407,12.5,17,
Kayshon Boutte,2020,LSU,SEC,FR,WR,10,0,0,0.0,0,0.0,45,735,16.3,5,73.5,45,735,16.3,5,
Kayshon Boutte,2021,LSU,SEC,SO,WR,6,0,0,0.0,0,0.0,38,508,13.4,9,84.7,38,508,13.4,9,
Kayshon Boutte,2022,LSU,SEC,JR,WR,11,1,41,41.0,0,3.7,48,538,11.2,2,48.9,49,579,11.8,2,
Jordan Addison,2020,Pitt,ACC,FR,WR,10,9,58,6.4,0,5.8,60,666,11.1,4,66.6,69,724,10.5,4,
Jordan Addison,2021,Pitt,ACC,SO,WR,14,7,56,8.0,1,4.0,100,1593,15.9,17,113.8,107,1649,15.4,18,AA
Jordan Addison,2022,USC,Pac-12,JR,WR,11,4,33,8.3,0,3.0,59,875,14.8,8,79.5,63,908,14.4,8,
