team,games,total_yds,total_ypg,pass_yds,pass_ypg,rush_yds,rush_ypg,points,points_per_game
UAB,12,4851,404.3,3187,265.6,1664,138.7,317,26.4
Kennesaw St.,14,5634,402.4,3403,243.1,2231,159.4,374,26.7
Georgia,14,5633,402.4,3083,220.2,2550,182.1,449,32.1
San Jose St.,12,4827,402.3,3391,282.6,1436,119.7,257,21.4
Southern Miss.,13,5227,402.1,3459,266.1,1768,136.0,374,28.8
Ga. Southern,13,5220,401.5,3216,247.4,2004,154.2,363,27.9
BYU,14,5593,399.5,3100,221.4,2493,178.1,440,31.4
Mississippi St.,13,5189,399.2,3135,241.2,2054,158.0,395,30.4
Tulsa,12,4775,397.9,2669,222.4,2106,175.5,278,23.2
FIU,13,5161,397.0,2800,215.4,2361,181.6,371,28.5
Michigan,13,5160,396.9,2428,186.8,2732,210.2,358,27.5
Iowa St.,12,4753,396.1,2657,221.4,2096,174.7,329,27.4
Houston,13,5128,394.5,2813,216.4,2315,178.1,378,29.1
Wake Forest,13,5120,393.8,3090,237.7,2030,156.2,365,28.1
Hawaii,13,5119,393.8,3778,290.6,1341,103.2,377,29.0
North Carolina St.,13,5099,392.2,3194,245.7,1905,146.5,400,30.8
Clemson,13,5099,392.2,3481,267.8,1618,124.5,354,27.2
Missouri St.,13,5098,392.2,3636,279.7,1462,112.5,333,25.6
Pittsburgh,13,5077,390.5,3553,273.3,1524,117.2,438,33.7
Kansas,12,4686,390.5,2667,222.3,2019,168.3,337,28.1
Liberty,12,4674,389.5,2346,195.5,2328,194.0,307,25.6
Texas,13,5050,388.5,3259,250.7,1791,137.8,396,30.5
Louisville,13,4999,384.5,2868,220.6,2131,163.9,389,29.9
App State,13,4995,384.2,3336,256.6,1659,127.6,314,24.2
Boston Col.,12,4609,384.1,3362,280.2,1247,103.9,305,25.4
Arkansas St.,13,4975,382.7,3374,259.5,1601,123.2,327,25.2
South Alabama,12,4570,380.8,2174,181.2,2396,199.7,318,26.5
UCF,12,4545,378.8,2649,220.8,1896,158.0,292,24.3
Georgia St.,12,4538,378.2,3049,254.1,1489,124.1,237,19.8
Eastern Mich.,12,4527,377.3,2817,234.8,1710,142.5,289,24.1
Auburn,12,4487,373.9,2365,197.1,2122,176.8,321,26.8
Illinois,13,4860,373.8,3065,235.8,1795,138.1,382,29.4
Middle Tenn.,12,4459,371.6,3193,266.1,1266,105.5,269,22.4
Nebraska,13,4817,370.5,2920,224.6,1897,145.9,373,28.7
Kansas St.,12,4441,370.1,2385,198.8,2056,171.3,353,29.4
