Player,Season,Team,Conf,Class,Pos,G,RushAtt,RushYds,RushY/A,RushTD,RushY/G,Rec,RecYds,RecY/R,RecTD,RecY/G,ScrimPlays,ScrimYds,ScrimAvg,ScrimTD,Awards
Troy Franklin,2021,Oregon,Pac-12,FR,WR,14.0,0.0,0.0,0.0,0.0,0.0,18,209,11.6,2,14.9,18.0,209.0,11.6,2.0,
Troy Franklin,2022,Oregon,Pac-12,SO,WR,13.0,0.0,0.0,0.0,0.0,0.0,61,891,14.6,9,68.5,61.0,891.0,14.6,9.0,
Troy Franklin,2023,Oregon,Pac-12,JR,WR,13.0,0.0,0.0,0.0,0.0,0.0,81,1383,17.1,14,106.4,81.0,1383.0,17.1,14.0,
Keon Coleman,2021,Michigan State,Big Ten,FR,WR,10.0,0.0,0.0,0.0,0.0,0.0,7,50,7.1,1,5.0,7.0,50.0,7.1,1.0,
Keon Coleman,2022,Michigan State,Big Ten,SO,WR,12.0,0.0,0.0,0.0,0.0,0.0,58,798,13.8,7,66.5,58.0,798.0,13.8,7.0,
Keon Coleman,2023,Florida State,ACC,JR,WR,12.0,1.0,2.0,2.0,0.0,0.2,50,658,13.2,11,54.8,51.0,660.0,12.9,11.0,
Jalen Coker,2020,Holy Cross,Patriot,,WR,,,,,,,4,72,18.0,1,,,,,,
Jalen Coker,2021,Holy Cross,Patriot,,WR,,,,,,,50,663,13.3,4,,,,,,
Jalen Coker,2022,Holy Cross,Patriot,,WR,,,,,,,50,914,18.3,11,,,,,,
Jalen Coker,2023,Holy Cross,Patriot,,WR,,,,,,,59,1035,17.5,15,,,,,,
