player_name,team,age,adp,player_id,team_target_share,games_played,target_share_data_quality_flag,redzone_touches,redzone_touch_share,inside_10_carry_share,explosive_run_rate,third_down_snap_share,route_participation_rate,carries,targets,total_touches,opportunity_share,target_share_of_backfield,yards_per_touch,depth_chart_rank,archetype_primary,down_split,lean
Emanuel Wilson,SEA,27.0,215.9,00-0038797,0.0369565217391304,17.0,,27.0,0.1656441717791411,0.1777777777777777,0.008,0.2766990291262136,0.2961538461538461,125.0,17.0,142.0,0.30603448275862066,0.21794871794871795,4.25,2.0,committee_back,2-down,none
Jaylen Wright,MIA,23.0,215.5,00-0039874,0.036796536796536834,9.0,,12.0,0.0875912408759124,0.1875,0.0285714285714285,,0.075,70.0,9.0,79.0,0.16424116424116425,0.08737864077669903,4.426666666666667,2.0,handcuff,not_applicable,none
Jawhar Jordan,HOU,26.0,216.0,00-0039405,0.05379746835443053,4.0,corrected,5.0,0.0318471337579617,0.0555555555555555,0.0232558139534883,,0.0485436893203883,43.0,7.0,50.0,0.10752688172043011,0.09210526315789473,4.54,3.0,handcuff,not_applicable,none
Jaydon Blue,DAL,22.0,181.7,00-0040586,0.00560131795716634,5.0,,7.0,0.0360824742268041,0.0408163265306122,0.0263157894736842,,0.0410334346504559,38.0,1.0,39.0,0.08387096774193549,0.012195121951219513,3.4358974358974357,3.0,handcuff,not_applicable,none
MarShawn Lloyd,GB,25.0,189.2,00-0039811,,1.0,,,,,,,,,1.0,7.0,0.013539651837524178,,,4.0,unconfirmed,not_applicable,none
Isaiah Davis,NYJ,24.0,215.8,00-0039798,0.06302966101694917,16.0,,11.0,0.0887096774193548,0.0357142857142857,0.0930232558139534,0.5065502183406113,0.3667262969588551,43.0,28.0,71.0,0.17026378896882494,0.3333333333333333,6.59375,2.0,handcuff,not_applicable,none
George Holani,SEA,26.0,212.4,00-0039299,0.0074725274725274795,10.0,,5.0,0.0303030303030303,0.0204081632653061,0.0,,0.0176470588235294,22.0,2.0,24.0,0.047619047619047616,0.03125,3.6666666666666665,3.0,handcuff,not_applicable,none
LeQuint Allen,JAX,22.0,215.7,00-0040238,0.021366544789762375,16.0,,6.0,0.0297029702970297,0.0181818181818181,0.0,0.6728110599078341,0.3052805280528052,23.0,11.0,34.0,0.07606263982102908,0.14102564102564102,4.484848484848484,3.0,committee_back,3-down,none
Sean Tucker,TB,24.0,191.2,00-0038951,0.0203327171903882,17.0,,24.0,0.1632653061224489,0.4375,0.0348837209302325,,0.1112956810631229,86.0,11.0,97.0,0.1983640081799591,0.12087912087912088,3.765957446808511,3.0,committee_back,2-down,none
Frank Gore,BUF,38.0,216.0,00-0023500,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Roschon Johnson,CHI,25.0,216.0,00-0039021,0.0,6.0,,0.0,0.0,0.0,0.0,,0.0016611295681063,2.0,0.0,2.0,0.0041753653444676405,0.0,8.5,3.0,handcuff,not_applicable,none
Ollie Gordon,MIA,22.0,215.6,00-0040198,0.0194805194805195,17.0,,21.0,0.1532846715328467,0.375,0.0285714285714285,0.1927083333333333,0.2153846153846154,70.0,9.0,79.0,0.16424116424116425,0.08737864077669903,3.0,3.0,handcuff,not_applicable,none
Ray Davis,BUF,26.0,188.1,00-0039875,0.0271398747390397,17.0,,12.0,0.0615384615384615,0.046875,0.0517241379310344,,0.1305147058823529,58.0,13.0,71.0,0.14003944773175542,0.14772727272727273,5.3088235294117645,3.0,handcuff,not_applicable,none
Emmett Johnson,KC,22.0,198.3,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
DJ Giddens,IND,22.0,214.7,00-0040179,0.012830188679245019,5.0,,6.0,0.032258064516129,0.0169491525423728,0.0,,0.0395189003436426,26.0,2.0,28.0,0.06222222222222222,0.025974025974025976,3.6923076923076925,2.0,handcuff,not_applicable,none
Ty Chandler,NO,28.0,216.0,00-0037276,0.04843304843304816,17.0,corrected,3.0,0.0222222222222222,0.0416666666666666,0.0,,0.0328467153284671,17.0,10.0,83.0,0.10999358928698624,0.05194805194805195,2.9,6.0,handcuff,not_applicable,none
Jonah Coleman,DEN,22.0,159.9,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Brashard Smith,KC,23.0,216.0,00-0040078,0.063752276867031,17.0,,17.0,0.1005917159763313,0.119047619047619,0.0,0.1727272727272727,0.1561514195583596,44.0,35.0,79.0,0.1811926605504587,0.3888888888888889,4.681159420289855,2.0,handcuff,not_applicable,none
