player_id,player_name,position,team,bye_week,age,injury_status,projection_points,projection_rank,position_rank,tier,ceiling_projection,floor_projection,adp,adp_rank,expert_rank,projection_source,archetype_primary,archetype_confidence,injury_risk,durability_grade,boom_score,bust_score,stability_score,archetype
8177.0,Grant Calcaterra,TE,PHI,,27.0,Active,23.0,77.0,,,,,216.0,429.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
12511.0,Will Howard,QB,PIT,,24.0,Active,6.7,77.0,,,,,216.0,666.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
11748.0,Bub Means,WR,NO,,25.0,Active,87.4,78.0,,,,,216.0,351.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
5985.0,Foster Moreau,TE,HOU,,29.0,Active,22.9,78.0,,,,,216.0,424.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
232.0,Frank Gore,RB,BUF,,38.0,Active,33.5,78.0,,,,,216.0,426.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
4972.0,Mason Rudolph,QB,PIT,,31.0,Active,5.5,78.0,,,,,216.0,557.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
11610.0,Malik Washington,WR,MIA,6.0,25.0,Active,85.3,79.0,83.0,12.0,,,181.4,182.0,227.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
12538.0,Brady Cook,QB,NYJ,,24.0,Active,4.9,79.0,,,,,216.0,338.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
10235.0,Roschon Johnson,RB,CHI,10.0,25.0,Active,32.8,79.0,114.0,15.0,,,216.0,608.0,399.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
8227.0,Teagan Quitoriano,TE,ARI,,26.0,Active,22.9,79.0,,,,,,,,real,unclassified,0.0,30.0,,,,70.0,STEADY
13293.0,Ja'Kobi Lane,WR,BAL,13.0,22.0,Active,85.0,80.0,110.0,13.0,,,212.7,219.0,314.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
12495.0,Ollie Gordon,RB,MIA,6.0,22.0,Active,32.7,80.0,66.0,12.0,,,215.6,255.0,222.0,real,goal_line_rb,0.254,30.0,,,,70.0,STEADY
13308.0,Bauer Sharp,TE,TB,,23.0,Active,22.8,80.0,,,,,,,,real,unclassified,0.0,30.0,,,,70.0,STEADY
260.0,Josh Johnson,QB,CIN,,40.0,Active,0.0,80.0,,,,,,,,real,unclassified,0.0,30.0,,,,70.0,STEADY
11575.0,Ray Davis,RB,BUF,7.0,26.0,Active,32.0,81.0,62.0,11.0,,,188.1,187.0,194.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
6149.0,Darius Slayton,WR,NYG,8.0,29.0,Active,83.2,81.0,104.0,13.0,,,215.6,253.0,292.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
10857.0,Stetson Bennett,QB,LAR,,28.0,Active,0.0,81.0,,,,,216.0,621.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
5409.0,Tanner Hudson,TE,CIN,,31.0,Active,22.7,81.0,,,,,216.0,625.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
13337.0,Emmett Johnson,RB,KC,5.0,22.0,Active,31.9,82.0,58.0,10.0,,,198.3,197.0,171.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
11627.0,Troy Franklin,WR,DEN,10.0,23.0,Active,81.6,82.0,69.0,11.0,,,213.8,223.0,180.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
10866.0,Aidan O'Connell,QB,LV,,27.0,Active,0.0,82.0,,,,,216.0,318.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
