player_name,team,age,adp,player_id,target_share,games_played,snap_share,redzone_target_share,redzone_targets,adot,targets,te_archetype_primary,te_leans,te_role_profile
Justin Joly,DEN,22.0,216.0,,,,,,,,,unconfirmed,none,
Brevyn Spann-Ford,DAL,26.0,216.0,00-0039530,0.02275535420098847,16.0,0.2529510961214165,0.0192307692307692,2.0,8.23076923076923,13.0,unconfirmed,none,
Devin Culp,TB,26.0,216.0,00-0039754,0.00785582255083165,4.0,0.0493827160493827,0.0131578947368421,1.0,6.0,1.0,unconfirmed,none,
Tip Reiman,ARI,24.0,,00-0039737,0.0459211237169093,3.0,0.0863436123348017,0.0,0.0,5.2,5.0,unconfirmed,none,
Josh Cuevas,BAL,22.0,216.0,,,,,,,,,unconfirmed,none,
Jack Stoll,CLE,28.0,216.0,00-0036741,0.03677482792527047,9.0,0.1859430604982206,0.0192307692307692,1.0,3.090909090909091,11.0,unconfirmed,none,
Ian Thomas,LV,30.0,216.0,00-0034365,0.04970760233918126,9.0,0.3202416918429003,0.0,0.0,3.230769230769231,13.0,blocking_te,none,
Hunter Long,JAX,27.0,,00-0037004,0.07547662575084886,7.0,0.2243478260869565,0.0459770114942528,4.0,3.882352941176471,17.0,unconfirmed,none,
Joe Royer,CLE,24.0,216.0,,,,,,,,,unconfirmed,none,
Chris Manhertz,NYG,34.0,,00-0031484,0.016898608349900247,4.0,0.1808695652173913,0.0147058823529411,1.0,5.5,2.0,unconfirmed,none,
Luke Farrell,SF,28.0,216.0,00-0036887,0.03328671328671335,13.0,0.360392506690455,0.0444444444444444,4.0,2.9285714285714284,14.0,blocking_te,none,
Ko Kieft,TB,28.0,,00-0037311,0.0,2.0,0.0255731922398589,,,,0.0,unconfirmed,none,
CJ Dippre,NE,24.0,,00-0040566,,,0.0182815356489945,,,,,unconfirmed,none,
Tanner Koziol,JAX,22.0,216.0,,,,,,,,,unconfirmed,none,
Tyler Conklin,DET,31.0,216.0,00-0034270,0.05208333333333342,6.0,0.147856517935258,0.0,0.0,4.5,10.0,unconfirmed,none,
Oscar Delp,NO,23.0,215.9,,,,,,,,,unconfirmed,none,
Eric Saubert,SEA,32.0,216.0,00-0033576,0.029059829059829085,9.0,0.2593984962406015,0.0615384615384615,4.0,3.5,7.0,unconfirmed,none,
Drew Ogletree,IND,28.0,216.0,,,,,,,,,unconfirmed,none,
Sam Roush,CHI,22.0,216.0,,,,,,,,,unconfirmed,none,
Johnny Mundt,PHI,31.0,,00-0033246,0.04920780012187693,12.0,0.3382608695652174,0.0114942528735632,1.0,5.2631578947368425,19.0,blocking_te,none,
Quintin Morris,JAX,27.0,,00-0036590,0.025427954129965156,11.0,0.1860869565217391,0.0229885057471264,2.0,5.0,9.0,unconfirmed,none,
Cole Turner,MIA,26.0,,00-0037078,,,0.0,,,,,unconfirmed,none,
Max Bredeson,MIN,23.0,,,,,,,,,,unconfirmed,none,
Jelani Woods,NYJ,27.0,,00-0037755,0.0540254237288133,2.0,0.0572519083969465,0.0163934426229508,1.0,2.0,3.0,unconfirmed,none,
Lucas Krull,DEN,28.0,216.0,00-0037539,0.05821917808219135,2.0,0.0464912280701754,0.0,0.0,5.0,4.0,unconfirmed,none,
Riley Nowakowski,PIT,24.0,,,,,,,,,,unconfirmed,none,
Blake Whiteheart,CLE,26.0,,00-0038710,0.02171136653895271,9.0,0.2262234533702677,0.0,0.0,7.166666666666667,6.0,unconfirmed,none,
Julian Hill,NE,26.0,216.0,00-0038720,0.06690279417552146,11.0,0.4475025484199796,0.0597014925373134,4.0,3.142857142857143,20.0,blocking_te,none,
Chris Myarick,LV,30.0,215.9,00-0035345,,,,,,,,unconfirmed,none,
Feleipe Franks,CAR,28.0,215.9,00-0036825,0.0,10.0,0.0136861313868613,0.0,0.0,,0.0,unconfirmed,none,
Taysom Hill,,35.0,215.9,00-0033357,0.0370319945541185,13.0,,0.0,0.0,3.375,16.0,unconfirmed,none,
Ben Yurosek,MIN,24.0,216.0,00-0040509,0.018162393162393133,6.0,0.1158841158841158,0.0,0.0,3.6666666666666665,3.0,unconfirmed,none,
Brandon Dillon,,26.0,216.0,00-0035102,,,,,,,,unconfirmed,none,
Brevin Jordan,HOU,26.0,216.0,00-0036556,,,,,,,,unconfirmed,none,
C.J. Uzomah,,32.0,216.0,00-0032134,,,,,,,,unconfirmed,none,
Caleb Lohner,DEN,24.0,216.0,,,,,,,,,unconfirmed,none,
Chris Herndon,,26.0,216.0,00-0034766,,,,,,,,unconfirmed,none,
Dallin Holker,,25.0,216.0,,,,,,,,,unconfirmed,none,
Darren Waller,FA,33.0,216.0,00-0031610,0.13900913900913903,9.0,0.2079510703363914,0.1194029850746268,8.0,10.257142857142858,34.0,unconfirmed,none,
Hakeem Butler,DEN,30.0,216.0,00-0035529,,,,,,,,unconfirmed,none,
Harrison Bryant,,28.0,216.0,00-0036232,0.03688969258589512,5.0,0.1491379310344827,0.0,0.0,9.666666666666666,6.0,unconfirmed,none,
J.P. Holtz,,30.0,216.0,00-0032986,,,,,,,,unconfirmed,none,
Jake Briningstool,KC,23.0,216.0,,,,,,,,,unconfirmed,none,
James Mitchell,CAR,26.0,216.0,00-0037282,0.053125000000000006,2.0,0.0442978322337417,0.0,0.0,2.333333333333333,3.0,unconfirmed,none,
Jody Fortson,,29.0,216.0,00-0035547,,,,,,,,unconfirmed,none,
Joel Wilson,TEN,26.0,216.0,,,,,,,,,unconfirmed,none,
John Michael Gyllenborg,KC,24.0,216.0,,,,,,,,,unconfirmed,none,
Jonnu Smith,FA,30.0,216.0,00-0033858,0.103448275862069,17.0,0.5198836081474297,0.1025641025641025,8.0,4.254545454545455,54.0,balanced,none,
Jordan Akins,,33.0,216.0,00-0034364,,,,,,,,unconfirmed,none,
Josh Pederson,,26.0,216.0,,,,,,,,,unconfirmed,none,
Josh Whyle,GB,26.0,216.0,00-0038589,0.036956521739130534,6.0,0.1674595623215984,0.0144927536231884,1.0,3.8333333333333335,6.0,unconfirmed,none,
Keleki Latu,BUF,23.0,216.0,00-0040363,0.04732080723729946,3.0,0.0750883392226148,0.0,0.0,3.0,4.0,unconfirmed,none,
Kylen Granson,TEN,28.0,216.0,00-0036876,0.027478448275862027,12.0,0.2314990512333966,0.0163934426229508,1.0,7.555555555555555,9.0,unconfirmed,none,
Leonard Taylor,,24.0,216.0,00-0039289,,,,,,,,unconfirmed,none,
Luke Stocker,,33.0,216.0,00-0028042,,,,,,,,unconfirmed,none,
Marcedes Lewis,,41.0,216.0,00-0024243,0.0,1.0,0.0710526315789473,,,,0.0,unconfirmed,none,
Mark Redman,LAR,24.0,216.0,,,,,,,,,unconfirmed,none,
Michael Trigg,DAL,24.0,216.0,,,,,,,,,unconfirmed,none,
Miles Kitselman,DET,23.0,216.0,,,,,,,,,unconfirmed,none,
Miller Forristall,,26.0,216.0,00-0036692,,,,,,,,unconfirmed,none,
Moliki Matavao,NO,23.0,216.0,00-0040244,0.0601769911504415,1.0,0.0738434163701067,0.0,0.0,2.5,2.0,unconfirmed,none,
MyCole Pruitt,,32.0,216.0,00-0031585,,,,,,,,unconfirmed,none,
Neal Johnson,,24.0,216.0,,,,,,,,,unconfirmed,none,
Nick Boyle,,29.0,216.0,00-0031598,,,,,,,,unconfirmed,none,
Noah Togiai,,26.0,216.0,00-0036005,,,,,,,,unconfirmed,none,
Robert Tonyan,PIT,32.0,216.0,00-0033757,0.01548269581056455,2.0,0.1194968553459119,0.0,0.0,1.0,1.0,unconfirmed,none,
Stone Smartt,PHI,27.0,216.0,00-0037475,0.05402542372881358,6.0,0.0811068702290076,0.0,0.0,4.666666666666667,9.0,unconfirmed,none,
Travis Vokolek,ARI,27.0,216.0,00-0038456,0.0,1.0,0.0281938325991189,,,,0.0,unconfirmed,none,
Trey Knox,,23.0,216.0,,,,,,,,,unconfirmed,none,
Tyree Jackson,,28.0,216.0,00-0035356,,,,,,,,unconfirmed,none,
Zach Davidson,,27.0,216.0,00-0036640,,,0.0060869565217391,,,,,unconfirmed,none,
Zach Ertz,FA,35.0,216.0,00-0030061,0.21794871794871837,13.0,0.5227703984819735,0.1764705882352941,9.0,8.986301369863014,72.0,receiving_te,none,elite
