player_name,position,draft_season,draft_pick,landing_team,college,height_inches,weight,forty_time,college_dominator_final_year,college_dominator_career,breakout_age,projected_tier,composite,sample_weight,status,tag,display_weight,display_status,display_tag,component_draft_capital,component_dominator,component_athletic,component_roster_competition,component_offense_environment,component_schedule,component_breakout_age,games,attempts,rushing_data_status,component_ncaa_passer_rating,generated_at
Xavier Worthy,WR,2024,28,KC,Texas,71.0,165.0,4.21,,,,complementary,63.4,1.0,confirmed,complementary,1.0,confirmed,complementary,77.9,50.0,,80.0,80.0,32.5,20.0,,,,,2026-08-17T02:16:54+00:00
Ricky Pearsall,WR,2024,31,SF,Florida,73.0,189.0,4.41,,,,complementary,59.8,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,76.1,50.0,,40.0,100.0,52.5,20.0,,,,,2026-08-17T02:16:54+00:00
Xavier Legette,WR,2024,32,CAR,South Carolina,73.0,221.0,4.39,,,,complementary,55.2,1.0,confirmed,complementary,1.0,confirmed,complementary,75.5,50.0,,60.0,15.0,75.0,20.0,,,,,2026-08-17T02:16:54+00:00
Keon Coleman,WR,2024,33,BUF,Florida St.,75.0,213.0,4.61,18.7,,,complementary,61.8,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,75.0,41.1,,80.0,100.0,25.0,20.0,,,,,2026-08-17T02:16:54+00:00
Ladd McConkey,WR,2024,34,LAC,Georgia,72.0,186.0,4.39,,,,complementary,52.0,1.0,confirmed,high_floor,1.0,confirmed,high_floor,74.4,50.0,,20.0,50.0,70.0,20.0,,,,,2026-08-17T02:16:54+00:00
Ja'Lynn Polk,WR,2024,37,NE,Washington,73.0,203.0,4.52,22.5,,21.0,complementary,56.6,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,72.8,49.5,,60.0,12.5,60.0,55.0,,,,,2026-08-17T02:16:54+00:00
Jonathon Brooks,RB,2024,46,CAR,Texas,72.0,216.0,,,,,committee,54.5,0.48,blended,committee,0.0,projected,committee,71.6,50.0,50.0,60.0,15.0,75.0,,,,,,2026-08-17T02:16:54+00:00
Adonai Mitchell,WR,2024,52,IND,Texas,74.0,205.0,4.34,20.9,,20.0,complementary,61.3,1.0,confirmed,complementary,1.0,confirmed,complementary,65.5,46.0,,60.0,65.0,87.5,70.0,,,,,2026-08-17T02:16:54+00:00
Malachi Corley,WR,2024,65,NYJ,Western Kentucky,,,,,,,complementary,51.6,0.467,blended,complementary,0.0,projected,complementary,60.3,50.0,,80.0,5.0,70.0,20.0,,,,,2026-08-17T02:16:54+00:00
Trey Benson,RB,2024,66,ARI,Florida St.,72.0,216.0,4.39,,,,committee,63.2,1.0,confirmed,handcuff,1.0,confirmed,handcuff,63.8,50.0,96.9,60.0,42.5,72.5,,,,,,2026-08-17T02:16:54+00:00
Jermaine Burton,WR,2024,80,CIN,Alabama,,,,,,,complementary,50.5,0.467,blended,complementary,0.0,projected,complementary,55.3,50.0,,40.0,70.0,72.5,20.0,,,,,2026-08-17T02:16:54+00:00
Blake Corum,RB,2024,83,LAR,Michigan,68.0,205.0,4.53,,,,committee,65.4,1.0,confirmed,committee_back,1.0,confirmed,committee_back,58.3,50.0,81.1,60.0,90.0,55.0,,,,,,2026-08-17T02:16:54+00:00
Roman Wilson,WR,2024,84,PIT,Michigan,71.0,185.0,4.39,,,,complementary,48.2,0.7,blended,unconfirmed,0.0,projected,complementary,54.1,50.0,,60.0,27.5,60.0,20.0,,,,,2026-08-17T02:16:54+00:00
MarShawn Lloyd,RB,2024,88,GB,USC,69.0,220.0,4.46,,,,committee,65.5,0.25,blended,committee,0.0,projected,committee,56.9,50.0,92.7,60.0,85.0,45.0,,,,,,2026-08-17T02:16:54+00:00
Jalen McMillan,WR,2024,92,TB,Washington,73.0,197.0,4.47,10.8,,,complementary,44.3,1.0,confirmed,complementary,1.0,confirmed,complementary,51.8,23.8,,60.0,57.5,70.0,20.0,,,,,2026-08-17T02:16:54+00:00
Luke McCaffrey,WR,2024,100,WAS,Rice,,,,,,,complementary,47.4,0.5,blended,unconfirmed,0.0,projected,complementary,49.7,50.0,,60.0,37.5,55.0,20.0,,,,,2026-08-17T02:16:54+00:00
Javon Baker,WR,2024,110,NE,Central Florida,,,,,,,complementary,44.3,0.0,projected,complementary,0.0,projected,complementary,47.3,50.0,,60.0,12.5,60.0,20.0,,,,,2026-08-17T02:16:54+00:00
Devontez Walker,WR,2024,113,BAL,North Carolina,,,,,,,complementary,52.5,0.267,blended,complementary,0.0,projected,complementary,46.7,50.0,,60.0,95.0,62.5,20.0,,,,,2026-08-17T02:16:54+00:00
Bucky Irving,RB,2024,125,TB,Oregon,69.0,192.0,4.55,,,,committee,61.3,1.0,confirmed,committee_back,1.0,confirmed,committee_back,48.1,50.0,74.7,80.0,57.5,70.0,,,,,,2026-08-17T02:16:54+00:00
Will Shipley,RB,2024,127,PHI,Clemson,,,,,,,committee,62.1,1.0,confirmed,handcuff,1.0,confirmed,handcuff,47.8,50.0,50.0,80.0,100.0,35.0,,,,,,2026-08-17T02:16:54+00:00
Ray Davis,RB,2024,128,BUF,Kentucky,,,,,,,committee,61.5,1.0,confirmed,handcuff,1.0,confirmed,handcuff,47.6,50.0,50.0,80.0,100.0,25.0,,,,,,2026-08-17T02:16:54+00:00
Isaac Guerendo,RB,2024,129,SF,Louisville,72.0,221.0,4.33,,,,bellcow,70.3,0.0,projected,bellcow,1.0,confirmed,handcuff,47.4,50.0,100.0,80.0,100.0,52.5,,,,,,2026-08-17T02:16:54+00:00
Braelon Allen,RB,2024,134,NYJ,Wisconsin,73.0,235.0,,,,,committee,49.2,0.84,blended,handcuff,1.0,confirmed,handcuff,46.4,50.0,50.0,80.0,5.0,70.0,,,,,,2026-08-17T02:16:54+00:00
Jacob Cowing,WR,2024,135,SF,Arizona,,,,,,,complementary,47.9,0.2,blended,complementary,0.0,projected,complementary,42.3,50.0,,40.0,100.0,52.5,20.0,,,,,2026-08-17T02:16:54+00:00
Anthony Gould,WR,2024,142,IND,Oregon St.,,,,,,,complementary,48.7,0.067,blended,complementary,0.0,projected,complementary,41.0,50.0,,60.0,65.0,87.5,20.0,,,,,2026-08-17T02:16:54+00:00
Audric Estime,RB,2024,147,DEN,Notre Dame,,,,,,,committee,53.1,1.0,confirmed,handcuff,1.0,confirmed,handcuff,44.1,50.0,50.0,80.0,42.5,50.0,,,,,,2026-08-17T02:16:54+00:00
Ainias Smith,WR,2024,152,PHI,Texas A&M,,,,,,,complementary,49.0,0.0,projected,complementary,0.0,projected,complementary,39.4,50.0,,60.0,100.0,35.0,20.0,,,,,2026-08-17T02:16:54+00:00
Jamari Thrash,WR,2024,156,CLE,Louisville,,,,,,,complementary,45.5,0.0,projected,complementary,0.0,projected,complementary,38.8,50.0,,60.0,50.0,67.5,20.0,,,,,2026-08-17T02:16:54+00:00
Rasheen Ali,RB,2024,165,BAL,Marshall,,,,,,,committee,56.8,0.72,blended,handcuff,1.0,confirmed,handcuff,41.3,50.0,50.0,60.0,95.0,62.5,,,,,,2026-08-17T02:16:54+00:00
Tyrone Tracy,RB,2024,166,NYG,Purdue,71.0,209.0,4.48,,,,committee,49.2,1.0,confirmed,committee_back,1.0,confirmed,committee_back,41.2,50.0,86.5,60.0,10.0,57.5,,,,,,2026-08-17T02:16:54+00:00
Keilan Robinson,RB,2024,167,JAX,Texas,,,,,,,committee,54.8,0.0,projected,committee,0.0,projected,committee,41.0,50.0,50.0,80.0,60.0,50.0,,,,,,2026-08-17T02:16:54+00:00
Bub Means,WR,2024,170,NO,Pittsburgh,,,,,,,complementary,49.1,0.5,blended,unconfirmed,0.0,projected,complementary,36.8,50.0,,60.0,77.5,100.0,20.0,,,,,2026-08-17T02:16:54+00:00
Jha'Quan Jackson,WR,2024,182,TEN,Tulane,,,,,,,complementary,46.9,0.0,projected,complementary,0.0,projected,complementary,35.2,50.0,,80.0,32.5,97.5,20.0,,,,,2026-08-17T02:16:54+00:00
Johnny Wilson,WR,2024,185,PHI,Florida St.,,,,,,,complementary,47.4,0.5,blended,unconfirmed,0.0,projected,complementary,34.8,50.0,,60.0,100.0,35.0,20.0,,,,,2026-08-17T02:16:54+00:00
