player_name,position,team,adp,adp_rank,projection_points,sportsbook_half_ppr_points,adp_position_rank,sportsbook_position_rank,position_rank_gap,projection_gap,projection_gap_pct,categories_available
Caleb Douglas,WR,MIA,214.1,226.0,71.3,26.5,WR92,WR136,-44.0,-44.8,-62.833,3
Demond Claiborne,RB,MIN,214.3,227.0,22.0,31.0,RB69,RB79,-10.0,9.0,40.909,4
Ted Hurst,WR,TB,204.7,204.0,68.3,79.9,WR83,WR73,10.0,11.6,16.984,4
Treylon Burks,WR,WAS,215.8,273.0,66.8,28.8,WR110,WR130,-20.0,-38.0,-56.886,4
Dontayvion Wicks,WR,PHI,188.6,189.0,65.4,57.4,WR77,WR101,-24.0,-8.0,-12.232,4
Kaytron Allen,RB,WAS,204.2,202.0,19.9,43.9,RB62,RB72,-10.0,24.0,120.603,4
Jack Bech,WR,LV,215.4,245.0,65.2,71.7,WR100,WR88,12.0,6.5,9.969,4
Elic Ayomanor,WR,TEN,215.7,260.0,63.5,46.7,WR108,WR114,-6.0,-16.8,-26.457,3
Chimere Dike,WR,TEN,215.9,276.0,61.8,72.4,WR117,WR87,30.0,10.6,17.152,4
Jahan Dotson,WR,ATL,215.6,254.0,60.9,52.4,WR105,WR108,-3.0,-8.5,-13.957,4
Nicholas Singleton,RB,TEN,208.9,208.0,17.5,59.7,RB63,RB55,8.0,42.2,241.143,5
Jaylin Noel,WR,HOU,215.0,238.0,59.8,67.4,WR97,WR93,4.0,7.6,12.709,4
Pat Bryant,WR,DEN,204.5,203.0,58.3,78.9,WR82,WR76,6.0,20.6,35.334,4
Joshua Palmer,WR,BUF,215.8,269.0,56.3,26.6,WR111,WR135,-24.0,-29.7,-52.753,3
Luke McCaffrey,WR,WAS,215.9,297.0,54.7,7.3,WR119,WR171,-52.0,-47.4,-86.654,2
Marvin Mims,WR,DEN,215.8,270.0,54.7,58.4,WR112,WR99,13.0,3.7,6.764,4
KaVontae Turpin,WR,DAL,215.9,294.0,54.5,63.0,WR120,WR95,25.0,8.5,15.596,5
DeMario Douglas,WR,NE,215.9,280.0,49.9,49.3,WR121,WR110,11.0,-0.6,-1.202,4
Elijah Sarratt,WR,BAL,210.5,210.0,49.4,73.1,WR86,WR85,1.0,23.7,47.976,4
Keon Coleman,WR,BUF,211.3,214.0,49.4,31.8,WR88,WR122,-34.0,-17.6,-35.628,4
Kendrick Bourne,WR,ARI,215.9,296.0,38.9,57.3,WR123,WR102,21.0,18.4,47.301,3
Kalif Raymond,WR,CHI,215.9,295.0,36.9,23.2,WR124,WR153,-29.0,-13.7,-37.127,4
Skyler Bell,WR,BUF,215.5,251.0,35.0,76.2,WR103,WR79,24.0,41.2,117.714,4
Devontez Walker,WR,BAL,215.8,265.0,29.3,9.7,WR113,WR169,-56.0,-19.6,-66.894,3
Zavion Thomas,WR,CHI,215.6,257.0,28.7,47.2,WR106,WR113,-7.0,18.5,64.46,3
Malachi Fields,WR,NYG,214.4,229.0,27.4,67.6,WR93,WR92,1.0,40.2,146.715,4
Isaiah Bond,WR,CLE,215.9,286.0,25.4,58.8,WR126,WR98,28.0,33.4,131.496,4
Brenen Thompson,WR,LAC,215.7,258.0,22.6,32.0,WR109,WR121,-12.0,9.4,41.593,3
Mack Hollins,WR,NE,215.9,298.0,22.6,49.4,WR127,WR109,18.0,26.8,118.584,4
Jimmy Horn,WR,CAR,215.9,291.0,18.1,25.2,WR129,WR143,-14.0,7.1,39.227,4
Kenneth Gainwell,RB,TB,107.4,106.0,,,RB37,,,,,0
Ricky Pearsall,WR,SF,119.1,120.0,,,WR52,,,,,0
Stefon Diggs,WR,WAS,132.1,133.0,,138.55,WR57,WR38,19.0,,,4
Keenan Allen,WR,LAC,206.7,205.0,,76.0,WR84,WR80,4.0,,,3
Tyreek Hill,WR,FA,215.4,246.0,,77.2,WR101,WR77,24.0,,,4
Brandon Aiyuk,WR,SF,215.6,252.0,,41.6,WR107,WR115,-8.0,,,4
Roman Wilson,WR,PIT,215.8,272.0,,22.3,WR114,WR160,-46.0,,,3
Avery Williams,RB,,215.9,274.0,,,RB85,,,,,0
Chris Brazzell,WR,CAR,215.9,277.0,,,WR130,,,,,0
Chris Myarick,TE,LV,215.9,278.0,,,TE50,,,,,0
Erik Ezukanma,WR,PHI,215.9,283.0,,,WR131,,,,,0
Feleipe Franks,TE,CAR,215.9,284.0,,1.4,TE51,TE125,-74.0,,,3
Isaiah Spiller,RB,,215.9,287.0,,,RB86,,,,,0
Joshua Cephus,WR,,215.9,293.0,,,WR132,,,,,0
Mike White,QB,,215.9,300.0,,,QB40,,,,,0
