player_name,position,team,adp,adp_rank,age,injury_status,injury_risk,player_id,career_touches,snap_share,depth_chart_competition,target_share_rate,opportunity_share_rate,games_recent,target_share_data_quality_flag,redzone_target_share,redzone_carry_share,td_rate_vs_baseline,value_signal_market,volatility_diagnostic,target_share_percentile,opportunity_share_percentile,snap_share_percentile,epa_rank,pace_rank,scoring_rank,home_climate,road_cold_games,bye_week,season_sos_rank,short_week_or_primetime_games,injury_score,injury_acute_score,injury_chronic_score,games_missed_by_season,injury_severity_by_season,injury_override_note,role_usage_td_score,role_usage_td_override_note,offense_environment_score,schedule_weather_venue_score,risk_index
Alexander Mattison,RB,,216.0,319.0,27.0,Active,30.0,00-0034972,852.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.4,"{""2019"": 4, ""2020"": 4, ""2021"": 1, ""2022"": 0, ""2023"": 1, ""2024"": 3, ""2025"": 17}","{""2019"": ""moderate"", ""2020"": ""moderate"", ""2021"": ""minor"", ""2022"": ""minor"", ""2023"": ""minor"", ""2024"": ""moderate"", ""2025"": ""season_ending""}",,2.5,,,,71.5
Ameer Abdullah,RB,JAX,216.0,320.0,33.0,Active,30.0,00-0032104,727.0,0.0802238805970149,0.5,0.041944847605224954,0.04098934432604806,13.0,,0.0120481927710843,0.029126213592233,1.2918211059582185,,,0.4918032786885246,0.22950819672131148,0.359375,13.0,7.0,6.0,outdoor,3.0,7.0,17.0,3.0,4.8,2.7,4.8,"{""2015"": 1, ""2016"": 15, ""2017"": 3, ""2018"": 8, ""2019"": 2, ""2020"": 6, ""2021"": 0, ""2022"": 1, ""2023"": 1, ""2024"": 2, ""2025"": 4}","{""2015"": ""minor"", ""2016"": ""season_ending"", ""2017"": ""moderate"", ""2018"": ""moderate"", ""2019"": ""minor"", ""2020"": ""moderate"", ""2021"": ""minor"", ""2022"": ""minor"", ""2023"": ""minor"", ""2024"": ""minor"", ""2025"": ""moderate""}",,3.3,,1.6,3.0,63.4
Andrew Armstrong,WR,KC,216.0,321.0,25.0,Active,30.0,,,,,,,,,,,,,,,,,12.0,17.0,21.0,outdoor,3.0,5.0,18.0,6.0,1.0,1.0,1.0,{},{},,2.5,,2.3,3.7,28.0
Anthony Tyus,RB,CAR,216.0,324.0,23.0,Active,30.0,,,,,,,,,,,,,,,,,26.0,23.0,25.0,outdoor,1.0,5.0,25.0,3.0,1.0,1.0,1.0,{},{},,2.5,,3.9,2.0,29.2
Antonio Gibson,RB,FA,216.0,325.0,27.0,Questionable,65.0,00-0036328,984.0,0.0475319926873857,0.5,0.02116182572614076,0.09558232931726908,5.0,,0.0,0.0421052631578947,1.4353567843980206,,,0.27049180327868855,0.4180327868852459,0.25,,,,,,,,,4.9,4.9,3.0,"{""2020"": 3, ""2021"": 1, ""2022"": 2, ""2023"": 1, ""2024"": 0, ""2025"": 12}","{""2020"": ""moderate"", ""2021"": ""minor"", ""2022"": ""minor"", ""2023"": ""minor"", ""2024"": ""minor"", ""2025"": ""season_ending""}",,3.7,,,,83.8
Audric Estime,RB,NO,216.0,328.0,22.0,Active,30.0,00-0039373,139.0,0.1610320284697509,1.5,0.07823008849557514,0.19551656920077973,5.0,corrected,0.0,0.0895522388059701,0.6681833306680441,,,0.680327868852459,0.680327868852459,0.4765625,27.0,12.0,28.0,dome,2.0,8.0,29.0,1.0,5.0,5.0,1.0,"{""2024"": 4, ""2025"": 12}","{""2024"": ""moderate"", ""2025"": ""season_ending""}",,2.6,,3.8,1.0,69.2
Austin Ekeler,RB,FA,216.0,329.0,30.0,Active,30.0,00-0033699,1561.0,0.0654648956356736,2.5,0.13773148148148145,0.18730325288562433,2.0,corrected,0.0,0.0212765957446808,0.0,,,0.9426229508196722,0.6557377049180327,0.328125,,,,,,,,,5.0,5.0,4.8,"{""2017"": 3, ""2018"": 3, ""2019"": 1, ""2020"": 7, ""2021"": 1, ""2022"": 0, ""2023"": 3, ""2024"": 5, ""2025"": 15}","{""2017"": ""moderate"", ""2018"": ""moderate"", ""2019"": ""minor"", ""2020"": ""moderate"", ""2021"": ""minor"", ""2022"": ""minor"", ""2023"": ""moderate"", ""2024"": ""moderate"", ""2025"": ""season_ending""}",,3.0,,,,77.2
Austin Reed,QB,,216.0,331.0,25.0,Active,30.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,{},{},,2.5,,,,20.8
Ben Yurosek,TE,MIN,216.0,336.0,24.0,Active,30.0,00-0040509,2.0,0.1158841158841158,0.5,0.018162393162393133,0.018162393162393133,6.0,,0.0,0.0,0.0,,,0.10185185185185185,0.10185185185185185,0.20175438596491227,28.0,31.0,27.0,dome,3.0,6.0,1.0,4.0,3.2,3.2,1.0,"{""2025"": 11}","{""2025"": ""moderate""}",,3.4,,4.4,4.1,67.2
Benny Snell,RB,,216.0,337.0,25.0,Active,30.0,00-0035217,292.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.8,"{""2019"": 6, ""2020"": 2, ""2021"": 1, ""2022"": 8, ""2023"": 17, ""2024"": 17, ""2025"": 17}","{""2019"": ""moderate"", ""2020"": ""minor"", ""2021"": ""minor"", ""2022"": ""moderate"", ""2023"": ""season_ending"", ""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.5,,,,71.5
